,index,_id,timestamp,sensor,target,groups,power
878,878,666f8729865639045c05de11,2024-06-17 00:45:29.415,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 22666608640.0, 'time_enabled': 129013357519.0, 'time_running': 129013357519.0}}}}",22666.60864
879,879,666f872a865639045c05de12,2024-06-17 00:45:30.415,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 19525468160.0, 'time_enabled': 130013456574.0, 'time_running': 130013456574.0}}}}",19525.46816
880,880,666f872b865639045c05de13,2024-06-17 00:45:31.415,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 20100087808.0, 'time_enabled': 131013558825.0, 'time_running': 131013558825.0}}}}",20100.087808
881,881,666f872c865639045c05de14,2024-06-17 00:45:32.415,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 26499219456.0, 'time_enabled': 132013651789.0, 'time_running': 132013651789.0}}}}",26499.219456
882,882,666f872d865639045c05de15,2024-06-17 00:45:33.415,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 21280260096.0, 'time_enabled': 133013785189.0, 'time_running': 133013785189.0}}}}",21280.260096
883,883,666f872e865639045c05de16,2024-06-17 00:45:34.415,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 13614186496.0, 'time_enabled': 134013875118.0, 'time_running': 134013875118.0}}}}",13614.186496
884,884,666f872f865639045c05de17,2024-06-17 00:45:35.415,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 23826071552.0, 'time_enabled': 135013938206.0, 'time_running': 135013938206.0}}}}",23826.071552
885,885,666f8730865639045c05de18,2024-06-17 00:45:36.415,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 21288189952.0, 'time_enabled': 136014062999.0, 'time_running': 136014062999.0}}}}",21288.189952
886,886,666f8731865639045c05de19,2024-06-17 00:45:37.416,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 22899851264.0, 'time_enabled': 137014209925.0, 'time_running': 137014209925.0}}}}",22899.851264
887,887,666f8732865639045c05de1a,2024-06-17 00:45:38.416,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 19280101376.0, 'time_enabled': 138014285225.0, 'time_running': 138014285225.0}}}}",19280.101376
888,888,666f8733865639045c05de1b,2024-06-17 00:45:39.416,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 19039518720.0, 'time_enabled': 139014673545.0, 'time_running': 139014673545.0}}}}",19039.51872
889,889,666f8734865639045c05de1c,2024-06-17 00:45:40.416,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 10402922496.0, 'time_enabled': 140015043339.0, 'time_running': 140015043339.0}}}}",10402.922496
890,890,666f8735865639045c05de1d,2024-06-17 00:45:41.417,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 8501919744.0, 'time_enabled': 141015539631.0, 'time_running': 141015539631.0}}}}",8501.919744
891,891,666f8736865639045c05de1e,2024-06-17 00:45:42.418,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 7331577856.0, 'time_enabled': 142016151680.0, 'time_running': 142016151680.0}}}}",7331.577856
892,892,666f8737865639045c05de1f,2024-06-17 00:45:43.418,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 16240934912.0, 'time_enabled': 143016714938.0, 'time_running': 143016714938.0}}}}",16240.934912
893,893,666f8738865639045c05de20,2024-06-17 00:45:44.418,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 12458000384.0, 'time_enabled': 144017026062.0, 'time_running': 144017026062.0}}}}",12458.000384
894,894,666f8739865639045c05de21,2024-06-17 00:45:45.419,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 17633247232.0, 'time_enabled': 145017123214.0, 'time_running': 145017123214.0}}}}",17633.247232
895,895,666f873a865639045c05de22,2024-06-17 00:45:46.419,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 32841269248.0, 'time_enabled': 146017169110.0, 'time_running': 146017169110.0}}}}",32841.269248
896,896,666f873b865639045c05de23,2024-06-17 00:45:47.419,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 55472291840.0, 'time_enabled': 147017250482.0, 'time_running': 147017250482.0}}}}",55472.29184
