CONTAINER_ID   NAME                CPU_%     MEM_USAGE/LIMIT     MEM_%     NET_I/O          BLOCK_I/O         PIDS
32a44ec76e17   mongo_destination   0.64     92.21MiB/13.59GiB   0.66     715kB/1.34MB   21.7MB/27.5MB   35
1e1de34b3ae7   firefox-15.0        0.04     84.67MiB/13.59GiB   0.61     0B/0B          1.15MB/72.7MB   19
32a44ec76e17   mongo_destination   0.64     92.21MiB/13.59GiB   0.66     715kB/1.35MB   21.7MB/27.5MB   35
1e1de34b3ae7   firefox-15.0        1.12     84.29MiB/13.59GiB   0.61     0B/0B          1.15MB/72.7MB   19
32a44ec76e17   mongo_destination   0.44     92.21MiB/13.59GiB   0.66     715kB/1.35MB   21.7MB/27.5MB   35
1e1de34b3ae7   firefox-15.0        0.04     84.29MiB/13.59GiB   0.61     0B/0B          1.15MB/72.7MB   19
32a44ec76e17   mongo_destination   0.60     92.21MiB/13.59GiB   0.66     715kB/1.35MB   21.7MB/27.5MB   35
55778b07e062   kind_hopper         0.04     5.289MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   1.57     92.25MiB/13.59GiB   0.66     721kB/1.35MB   21.7MB/27.7MB   36
79d6783ef51b   firefox-15.0        68.26    60.89MiB/13.59GiB   0.44     0B/0B          0B/9.61MB       19
79d6783ef51b   firefox-15.0        51.01    71.42MiB/13.59GiB   0.51     0B/0B          0B/11.6MB       20
55778b07e062   kind_hopper         0.03     5.293MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.67     92.25MiB/13.59GiB   0.66     723kB/1.35MB   21.7MB/27.7MB   36
79d6783ef51b   firefox-15.0        53.94    63.62MiB/13.59GiB   0.46     0B/0B          0B/12.7MB       20
55778b07e062   kind_hopper         0.04     5.293MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.63     92.25MiB/13.59GiB   0.66     725kB/1.35MB   21.7MB/27.7MB   36
79d6783ef51b   firefox-15.0        53.86    62.01MiB/13.59GiB   0.45     0B/0B          0B/15.1MB       20
55778b07e062   kind_hopper         0.04     5.297MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.59     92.47MiB/13.59GiB   0.66     726kB/1.35MB   21.7MB/27.9MB   36
79d6783ef51b   firefox-15.0        53.72    64.64MiB/13.59GiB   0.46     0B/0B          0B/17.1MB     20
55778b07e062   kind_hopper         0.03     5.297MiB/13.59GiB   0.04     0B/0B          0B/0B         5
32a44ec76e17   mongo_destination   0.60     92.47MiB/13.59GiB   0.66     729kB/1.35MB   21.7MB/28MB   36
79d6783ef51b   firefox-15.0        51.46    65.52MiB/13.59GiB   0.47     0B/0B          0B/19.2MB     20
55778b07e062   kind_hopper         0.04     5.297MiB/13.59GiB   0.04     0B/0B          0B/0B         5
32a44ec76e17   mongo_destination   0.91     92.6MiB/13.59GiB    0.67     730kB/1.35MB   21.7MB/28MB   36
79d6783ef51b   firefox-15.0        49.63    66.52MiB/13.59GiB   0.48     0B/0B          0B/20.2MB     20
55778b07e062   kind_hopper         0.03     5.297MiB/13.59GiB   0.04     0B/0B          0B/0B         5
32a44ec76e17   mongo_destination   0.64     92.47MiB/13.59GiB   0.66     732kB/1.36MB   21.7MB/28MB   36
79d6783ef51b   firefox-15.0        5.28     66.14MiB/13.59GiB   0.48     0B/0B          0B/22.2MB     20
55778b07e062   kind_hopper         0.04     5.297MiB/13.59GiB   0.04     0B/0B          0B/0B         5
32a44ec76e17   mongo_destination   0.59     92.47MiB/13.59GiB   0.66     733kB/1.36MB   21.7MB/28MB   36
79d6783ef51b   firefox-15.0        4.72     64.82MiB/13.59GiB   0.47     0B/0B          0B/22.6MB     20
55778b07e062   kind_hopper         0.04     5.297MiB/13.59GiB   0.04     0B/0B          0B/0B         5
32a44ec76e17   mongo_destination   0.80     92.47MiB/13.59GiB   0.66     735kB/1.36MB   21.7MB/28MB   36
79d6783ef51b   firefox-15.0        56.94    68.46MiB/13.59GiB   0.49     0B/0B          0B/23.6MB       20
55778b07e062   kind_hopper         0.08     5.301MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.56     92.47MiB/13.59GiB   0.66     737kB/1.36MB   21.7MB/28.1MB   36
79d6783ef51b   firefox-15.0        65.85    68.7MiB/13.59GiB    0.49     0B/0B          0B/25.6MB       20
55778b07e062   kind_hopper         0.03     5.301MiB/13.59GiB   0.04     0B/0B          0B/0B           5
