CONTAINER_ID   NAME                CPU_%     MEM_USAGE/LIMIT     MEM_%     NET_I/O         BLOCK_I/O         PIDS
4c8ac5212646   naughty_kare        0.04     5.328MiB/13.59GiB   0.04     0B/0B         0B/0B           5
32a44ec76e17   mongo_destination   0.61     92.27MiB/13.59GiB   0.66     487kB/608kB   21.7MB/18.1MB   36
6ac6db31fadb   firefox-45.0        28.31    189MiB/13.59GiB     1.36     0B/0B         0B/84.4MB       87
4c8ac5212646   naughty_kare        0.03     5.328MiB/13.59GiB   0.04     0B/0B         0B/0B           5
32a44ec76e17   mongo_destination   2.55     92.28MiB/13.59GiB   0.66     489kB/609kB   21.7MB/18.3MB   36
6ac6db31fadb   firefox-45.0        1.83     188MiB/13.59GiB     1.35     0B/0B         0B/85.4MB       87
4c8ac5212646   naughty_kare        0.05     5.328MiB/13.59GiB   0.04     0B/0B         0B/0B           5
32a44ec76e17   mongo_destination   0.67     92.29MiB/13.59GiB   0.66     490kB/609kB   21.7MB/18.3MB   36
6ac6db31fadb   firefox-45.0        2.79     162.1MiB/13.59GiB   1.16     0B/0B         0B/85.4MB       56
4c8ac5212646   naughty_kare        0.04     5.328MiB/13.59GiB   0.04     0B/0B         0B/0B           5
32a44ec76e17   mongo_destination   0.62     92.29MiB/13.59GiB   0.66     492kB/610kB   21.7MB/18.4MB   36
