,index,_id,timestamp,sensor,target,groups,power
279,279,666f7ab164942742770025d6,2024-06-16 23:52:17.041,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 37376557056.0, 'time_enabled': 102010862039.0, 'time_running': 102010862039.0}}}}",37376.557056
280,280,666f7ab264942742770025d7,2024-06-16 23:52:18.041,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 39406665728.0, 'time_enabled': 103010951496.0, 'time_running': 103010951496.0}}}}",39406.665728
281,281,666f7ab364942742770025d8,2024-06-16 23:52:19.041,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 34898444288.0, 'time_enabled': 104011033650.0, 'time_running': 104011033650.0}}}}",34898.444288
282,282,666f7ab464942742770025d9,2024-06-16 23:52:20.041,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 38894108672.0, 'time_enabled': 105011137484.0, 'time_running': 105011137484.0}}}}",38894.108672
283,283,666f7ab564942742770025da,2024-06-16 23:52:21.042,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 23643619328.0, 'time_enabled': 106011527045.0, 'time_running': 106011527045.0}}}}",23643.619328
284,284,666f7ab664942742770025db,2024-06-16 23:52:22.042,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 29153951744.0, 'time_enabled': 107011460510.0, 'time_running': 107011460510.0}}}}",29153.951744
285,285,666f7ab764942742770025dc,2024-06-16 23:52:23.042,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 27653439488.0, 'time_enabled': 108011495475.0, 'time_running': 108011495475.0}}}}",27653.439488
286,286,666f7ab864942742770025dd,2024-06-16 23:52:24.042,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 29120462848.0, 'time_enabled': 109011562340.0, 'time_running': 109011562340.0}}}}",29120.462848
287,287,666f7ab964942742770025de,2024-06-16 23:52:25.042,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 31580094464.0, 'time_enabled': 110011639444.0, 'time_running': 110011639444.0}}}}",31580.094464
288,288,666f7aba64942742770025df,2024-06-16 23:52:26.042,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 38975569920.0, 'time_enabled': 111011756934.0, 'time_running': 111011756934.0}}}}",38975.56992
